# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 2000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Cellular Component	GO:0030529	intracellular ribonucleoprotein complex	1	3.612879e-11	5.899831e-8	5.899831e-8	1.572684e+0	1.443393e+2	227	5.052127e-2	7.945397e-2	264	1.154570e-1	1.000000e+0	7.141715e-1	1.090061e+0	1.513677e+2	165	848	4.320503e-2	1.945755e-1	802,805,806,809,813,1272,2034,2072,2308,3657,5094,5705,6663,8078,8753,9539,9827,10402,10437,10790,10892,10923,11440,11442,11474,12023,12490,12605,12610,12687,13199,13200,13369,13370,13376,13377,13405,13406,13408,15982,15984,16255,16291,17933,18505,18581,19798,19801,19860,20130,20142,20143,21489,21859,21860,22482,22547,22599,23177,23179,23294,23295,23315,23488,25110,25124,25309,25312,25787,27546,27555,28144,28147,28686,29749,29752,29974,30770,30791,31287,31949,32431,32442,34143,36529,36616,37247,38375,38436,38458,38998,39003,40986,41138,42160,43608,44176,44385,45985,46000,46130,46617,47185,47662,47758,47769,48398,48952,49580,49670,50024,50337,50346,50350,50720,53367,53371,53790,54366,55322,55326,55356,56050,56701,56708,56932,57576,57907,57909,57921,57922,57928,57931,58828,59035,59209,59213,59220,59429,59744,59842,59847,60023,60120,60205,61391,61714,62077,62193,63382,63977,64247,65054,65063,65965,65969,66005,66095,67002,67148,68875,69188,69208,69218,69231,69238,69306,69308,69498,69507,69945,70489,70785,70789,70790,70799,70800,70804,70806,70814,71015,71766,72209,72458,72743,73279,73298,73314,73767,74266,74514,74575,74606,75106,75780,76044,76320,76321,76684,76686,76689,77283,78493,78894,80811,81937,81941,82070,82072,82474,82847,82990,83050,83067,83073,83239,84068,84482,84780,86362,87718,87726,87752,89747,90343,91236,92157	3110043O21Rik,Aar2,Adar,Ago2,Akap17b,Apod,Bms1,Cactin,Caprin1,Cdc42,Cdc5l,Cnot1,Cnot8,Cpeb1,Cpeb2,Cpeb3,Cpeb4,Crnkl1,Ctnnbl1,Ctsh,Cwc15,Dcp1a,Dcp2,Dcps,Ddx1,Ddx39,Ddx4,Denr,Dicer1,Dyrk2,Erg,Exd1,Fastkd5,Fbl,Fcf1,Gcn1l1,Gemin5,Ghr,Gm10073,Gm10076,Gm10260,Gm13691,Gm14214,Gm16519,Gm6133,Hax1,Heatr1,Hmbox1,Hnrnpa3,Hnrnpab,Hnrnph2,Hnrnpll,Hnrnpu,Hnrnpul1,Igf2bp1,Ina,L1td1,Larp1,Larp4b,Larp6,Lin28a,Lrpprc,Lsm5,Luc7l,Mael,Magoh,Mapkbp1,Mex3b,Mrpl13,Mrpl23,Mrpl33,Mrpl35,Mrpl4,Mrpl44,Mrpl45,Mrps10,Mrps27,Mrps33,Msi2,Nat10,Ncl,Nfatc2,Ngdn,Nop56,Nufip1,Nufip2,Nup50,Pabpc1,Pan3,Pcbp3,Piwil2,Piwil4,Pkp3,Pop1,Ppie,Prpf18,Prpf39,Prpf40a,Ptcd3,Pum2,Rac1,Rbm28,Rbm5,Rbpms,Rheb,Rpf1,Rpl10-ps3,Rpl12,Rpl14,Rpl19,Rpl29,Rpl3,Rpl31,Rpl34,Rpl7a-ps3,Rpl8,Rpl9-ps1,Rplp0,Rplp1,Rpp21,Rpp40,Rps10,Rps17,Rps2-ps6,Rps23,Rps24,Rps27rt,Rps3,Rps3a1,Rptor,Rrp1b,Rsl24d1,Sf3b1,Shb,Smg6,Smu1,Snd1,Snrnp48,Snrnp70,Snrpb,Snrpe,Snrpf,Srek1,Srp14,Srp68,Stau1,Syf2,Syne1,Tdrd6,Tdrd7,Top2b,Tra2b,Tuba1a,Utp11,Utp14b,Utp18,Utp6,Wdr37,Xpo1,Zc3h12a,Zfp326,Zfp36l1,Zfp622,Zmat5,Znhit6
GO Cellular Component	GO:1990904	ribonucleoprotein complex	2	3.985038e-11	6.507567e-8	3.253784e-8	1.570944e+0	1.444991e+2	227	5.057721e-2	7.945397e-2	277	1.220671e-1	1.000000e+0	7.196230e-1	1.087496e+0	1.517247e+2	165	850	4.320503e-2	1.941176e-1	802,805,806,809,813,1272,2034,2072,2308,3657,5094,5705,6663,8078,8753,9539,9827,10402,10437,10790,10892,10923,11440,11442,11474,12023,12490,12605,12610,12687,13199,13200,13369,13370,13376,13377,13405,13406,13408,15982,15984,16255,16291,17933,18505,18581,19798,19801,19860,20130,20142,20143,21489,21859,21860,22482,22547,22599,23177,23179,23294,23295,23315,23488,25110,25124,25309,25312,25787,27546,27555,28144,28147,28686,29749,29752,29974,30770,30791,31287,31949,32431,32442,34143,36529,36616,37247,38375,38436,38458,38998,39003,40986,41138,42160,43608,44176,44385,45985,46000,46130,46617,47185,47662,47758,47769,48398,48952,49580,49670,50024,50337,50346,50350,50720,53367,53371,53790,54366,55322,55326,55356,56050,56701,56708,56932,57576,57907,57909,57921,57922,57928,57931,58828,59035,59209,59213,59220,59429,59744,59842,59847,60023,60120,60205,61391,61714,62077,62193,63382,63977,64247,65054,65063,65965,65969,66005,66095,67002,67148,68875,69188,69208,69218,69231,69238,69306,69308,69498,69507,69945,70489,70785,70789,70790,70799,70800,70804,70806,70814,71015,71766,72209,72458,72743,73279,73298,73314,73767,74266,74514,74575,74606,75106,75780,76044,76320,76321,76684,76686,76689,77283,78493,78894,80811,81937,81941,82070,82072,82474,82847,82990,83050,83067,83073,83239,84068,84482,84780,86362,87718,87726,87752,89747,90343,91236,92157	3110043O21Rik,Aar2,Adar,Ago2,Akap17b,Apod,Bms1,Cactin,Caprin1,Cdc42,Cdc5l,Cnot1,Cnot8,Cpeb1,Cpeb2,Cpeb3,Cpeb4,Crnkl1,Ctnnbl1,Ctsh,Cwc15,Dcp1a,Dcp2,Dcps,Ddx1,Ddx39,Ddx4,Denr,Dicer1,Dyrk2,Erg,Exd1,Fastkd5,Fbl,Fcf1,Gcn1l1,Gemin5,Ghr,Gm10073,Gm10076,Gm10260,Gm13691,Gm14214,Gm16519,Gm6133,Hax1,Heatr1,Hmbox1,Hnrnpa3,Hnrnpab,Hnrnph2,Hnrnpll,Hnrnpu,Hnrnpul1,Igf2bp1,Ina,L1td1,Larp1,Larp4b,Larp6,Lin28a,Lrpprc,Lsm5,Luc7l,Mael,Magoh,Mapkbp1,Mex3b,Mrpl13,Mrpl23,Mrpl33,Mrpl35,Mrpl4,Mrpl44,Mrpl45,Mrps10,Mrps27,Mrps33,Msi2,Nat10,Ncl,Nfatc2,Ngdn,Nop56,Nufip1,Nufip2,Nup50,Pabpc1,Pan3,Pcbp3,Piwil2,Piwil4,Pkp3,Pop1,Ppie,Prpf18,Prpf39,Prpf40a,Ptcd3,Pum2,Rac1,Rbm28,Rbm5,Rbpms,Rheb,Rpf1,Rpl10-ps3,Rpl12,Rpl14,Rpl19,Rpl29,Rpl3,Rpl31,Rpl34,Rpl7a-ps3,Rpl8,Rpl9-ps1,Rplp0,Rplp1,Rpp21,Rpp40,Rps10,Rps17,Rps2-ps6,Rps23,Rps24,Rps27rt,Rps3,Rps3a1,Rptor,Rrp1b,Rsl24d1,Sf3b1,Shb,Smg6,Smu1,Snd1,Snrnp48,Snrnp70,Snrpb,Snrpe,Snrpf,Srek1,Srp14,Srp68,Stau1,Syf2,Syne1,Tdrd6,Tdrd7,Top2b,Tra2b,Tuba1a,Utp11,Utp14b,Utp18,Utp6,Wdr37,Xpo1,Zc3h12a,Zfp326,Zfp36l1,Zfp622,Zmat5,Znhit6
GO Cellular Component	GO:0005667	transcription factor complex	3	3.652091e-8	5.963865e-5	1.987955e-5	1.521639e+0	1.189507e+2	181	4.163481e-2	6.335317e-2	5	2.865481e-8	4.679330e-5	9.358661e-6	1.645945e+0	6.622337e+1	109	371	2.854150e-2	2.938005e-1	797,798,802,805,806,809,1616,2608,2614,2628,3037,3864,3925,3934,3936,5042,5082,5193,5705,5850,6839,6872,7524,7525,7713,7730,7759,7761,8155,10180,10437,10440,12078,13091,13099,13291,13301,13369,13370,13376,13377,13405,13406,13408,13410,16291,16639,17933,18387,20282,22040,22547,23654,23658,23659,23661,24491,25441,25853,30860,32537,32540,32541,32548,32811,33979,34731,34734,35456,35461,35472,37421,37435,37811,37815,37828,39663,39815,41017,42662,43401,44464,45222,45228,45232,45249,45251,46880,46881,47275,47880,47892,47901,48315,48572,50346,50350,50362,50366,51104,51518,54835,56469,56473,56486,56495,57576,57907,57909,59449,60416,61113,61120,61131,62409,62788,62831,62832,63617,63621,63657,63658,63659,63686,63795,63831,64291,64311,66819,67185,68012,68013,68014,68058,68060,71015,72138,73036,74909,74962,77061,77077,77408,77684,78056,80494,80496,82136,82137,83019,83033,83048,83050,83067,83073,83246,85554,85849,86311,87548,87620,87626,87828,87838,88303,89364,89865,90165,90167,90168,90197,90205,90206,90262,90619,90620,90630,90641,90655,90658,90939	Ahr,Alx1,Alx4,Arid2,Ascl5,Bcl9,Cebpb,Creb1,Crebbp,Creg1,Ctnnb1,Dach1,Dazap2,Dcp1a,Deaf1,E2f8,Ercc3,Ercc4,Figla,Fos,Foxe3,Foxf2,Gata3,Gata4,Gcm1,Gfi1b,Gtf3c4,Gtf3c5,Hand1,Hand2,Hax1,Hdac9,Hes6,Hif1a,Hivep2,Hnf1b,Hnrnpab,Hnrnpu,Lbx1,Ldb1,Ldb2,Lef1,Lhx3,Lmo2,Lmo4,Max,Med27,Mef2a,Meis1,Mxd4,Ncoa3,Nfatc1,Nfatc2,Npas2,Npas4,Nr4a3,Nr5a2,Nrf1,Olig1,Olig2,Parp1,Pax1,Pax2,Pax7,Pbx1,Pbx3,Pdlim1,Pitx1,Pou2af1,Pou2f1,Pou2f3,Pou3f1,Pou4f3,Pparg,Rfx3,Runx2,Sall4,Six1,Ski,Smad1,Smad2,Smad3,Smad5,Smad6,Smad7,Snapc1,Sox5,Sox6,Sox9,Stat3,Supt3,Taf1b,Taf3,Taf4b,Taf8,Tbpl1,Tcf12,Tcf7l1,Tcf7l2,Tead1,Tead3,Tead4,Tfap2a,Tfcp2l1,Tfe3,Trps1,Twist2,Zfhx3,Zfpm1
GO Cellular Component	GO:0044433	cytoplasmic vesicle part	4	3.948076e-8	6.447208e-5	1.611802e-5	1.428082e+0	1.680576e+2	240	5.882311e-2	8.400420e-2	36	2.378415e-4	3.883952e-1	1.078875e-2	1.282901e+0	1.317327e+2	169	738	4.425242e-2	2.289973e-1	564,574,581,651,1107,1429,2563,3271,3753,3762,3864,4489,7610,7759,7761,8133,8155,8215,9244,9251,10120,10868,11023,11073,11884,12314,12490,12904,13405,13406,13408,15347,15841,15847,16114,16478,16540,16669,16937,16938,17159,17170,17176,18538,19217,19967,21622,21932,22539,23128,23321,23326,25441,26257,26966,26976,27009,27011,27264,27276,27939,28002,28147,28705,29133,29161,29197,29451,29550,29749,29752,30271,30700,30837,30900,31562,31698,31704,31705,31710,31886,32736,32747,32752,32790,32971,32973,33908,33911,34143,34863,34865,35418,36398,37137,37366,38282,38419,41122,41174,41182,41185,41186,41538,41544,41546,42793,44147,44415,44575,45398,45400,46185,46489,47335,47348,47563,48106,48111,48188,48191,48606,48616,48632,48633,48923,49463,49816,51219,52770,52817,53445,53790,54835,56152,56486,56495,56523,56959,56974,57199,57546,58159,58160,58272,58396,58407,58408,58409,58914,58919,58920,58935,59208,59209,59213,59220,60227,61714,62055,62060,62395,62527,62722,62831,62832,63977,64285,64291,64927,64928,65690,65693,65714,65719,66286,66529,67439,67440,67533,69069,69073,69147,69148,70351,70356,70589,70600,71776,73126,73279,73298,73394,73404,73430,74606,76051,76052,76279,76280,76331,76501,76891,77408,77961,78427,78431,78439,78884,79009,79024,81152,82070,82072,82600,82847,83484,83509,85461,86739,87191,87194,87279,88450,88669,88707,89804,89819,89820,90156,90262,90468,90619,90620,90630,90831,90834,90939,91342,91343	Abcc4,Acap2,Actn1,Ada,Amph,Anxa2,Ap1g2,Ap3b1,Arfgef3,Arhgap32,Atp8b5,Atp9a,B2m,C2cd5,Cadps,Cadps2,Chga,Chmp1b,Chmp4b,Chmp6,Clic4,Clvs1,Copg1,Copg2,Cpe,Ctss,Dbh,Dct,Dmxl2,Dnm2,Dtnbp1,Dysf,Ehd1,Epn2,Eps15,Fth1,Furin,Fzd7,Gabarapl1,Gpnmb,Gripap1,H13,H2-DMa,H2-DMb2,H2-T3,Hip1,Hps6,Il12b,Ins1,Kcnq1,Kif13a,Kifc3,Lamtor5,Ldlrad4,Litaf,Lrp2,March3,Mb,Mcoln3,Mvb12b,Myo1b,Myof,Ndfip2,Npc1,Nsg2,Ocrl,Osbpl11,Pacsin1,Parm1,Pcsk2,Pip5k1c,Plekhb2,Pml,Prf1,Ptprn2,Rab11fip2,Rab11fip4,Rab11fip5,Rab14,Rab17,Rab20,Rab35,Rab39,Rab4a,Rab8b,Rac1,Rap2b,Rapgef1,Rassf9,Ret,Rhbg,Rhob,Rhov,Rnf144a,Rph3al,Rragc,Rufy1,Saysd1,Scap,Scgn,Sec13,Sec22b,Sec31a,Sec31b,Sema4c,Sfn,Sgip1,Sgsm1,Sh3gl3,Slc17a5,Slc30a4,Slc6a17,Smagp,Smo,Snx10,Snx13,Snx4,Snx8,Snx9,Spred2,Srebf2,Stard3,Stard3nl,Stx1a,Stx6,Stx8,Sun1,Sun2,Sv2c,Svop,Syngr1,Sypl,Syt10,Syt13,Syt2,Syt3,Syt6,Syt7,Syt8,Tbc1d4,Tbc1d5,Tekt3,Tex101,Tlr1,Tlr2,Tmed10,Tmed3,Tmem108,Tmem163,Tmem30a,Tmem9,Trpm2,Tsg101,Tspan15,Uso1,Vac14,Vps37b,Vps45,Vps4a,Vps50,Vps8,Vti1a,Ykt6,Ywhae,Ywhag,Ywhaq,Ywhaz,Zfyve28,Znrf2
GO Cellular Component	GO:0030139	endocytic vesicle	5	1.064916e-7	1.739008e-4	3.478016e-5	2.019978e+0	3.366373e+1	68	1.178289e-2	2.380119e-2	30	1.099362e-4	1.795258e-1	5.984194e-3	1.714975e+0	2.623945e+1	45	147	1.178319e-2	3.061224e-1	1501,2563,3487,3618,3622,4489,7759,7761,8215,8285,9244,9251,10032,11023,11264,15841,15847,17064,17079,20599,20603,21622,21932,26257,28147,29161,30837,32736,32747,32752,38952,38954,38961,41538,41544,41546,46185,46617,47082,47083,47088,47335,48106,48111,48222,48674,49549,58159,58160,59208,59209,59213,59220,59310,67810,67826,67838,80570,82847,82944,83484,83509,88450,88669,88707,91342,91343,91894	Ambra1,Apoa1,B2m,Ccl2,Cd2ap,Ctla4,Dab2ip,Dnm2,Dysf,Ehd1,Epn2,Eps15,Fth1,H2-T3,Hip1,Itsn1,Lpar1,Lrp2,Mal,Myo1e,Myo6,Nlgn3,Ocrl,Pik3c2b,Rab11fip4,Rab14,Rab17,Rab20,Rab35,Rab39,Rab8b,Rap1a,Rapgef1,Sgip1,Smo,Srgap2,Stx6,Syk,Syt7,Tbc1d5,Tirap,Tlr1,Tlr2,Tlr9,Uvrag
GO Cellular Component	GO:0005635	nuclear envelope	6	1.845502e-7	3.013705e-4	5.022841e-5	1.561895e+0	9.347617e+1	146	3.271829e-2	5.110256e-2	63	2.148469e-3	1.000000e+0	5.568968e-2	1.306761e+0	7.729035e+1	101	433	2.644671e-2	2.332564e-1	729,2968,3303,3809,3810,3811,3814,3816,4729,4734,5233,5850,5951,5953,6872,6979,7196,7972,11235,11540,11544,11559,11571,11733,12442,12490,12589,13199,13200,14963,14964,14966,14967,14970,16149,16155,16291,21961,23276,27350,27757,28563,29133,29161,29451,29522,29527,29540,29550,30831,30832,31549,32161,32673,33908,33911,34674,34693,37785,38153,39213,39238,41311,42255,43401,44027,46815,46816,46840,47563,47662,47674,47676,47680,47880,47892,48195,48302,48674,50720,52590,52870,55526,56701,56708,57199,57550,58572,58804,58805,58806,59526,59842,59847,60110,60860,62077,63731,65066,65067,67339,67342,67345,67533,68410,69174,69507,69678,69682,71460,71778,71782,71787,71981,71982,72307,76155,76279,76280,76684,76686,76689,78493,78957,80811,82036,82040,82045,82046,82048,82803,83884,84780,85070,85461,85849,85851,86739,87249,88303,89443,89804,89819,89820,90343,90540	Adra1a,Adra1b,Aen,Bcl2,Bin1,Bnip2,Brip1,Cacybp,Ccar1,Ccnd2,Cers3,Chmp4b,Cse1l,Ctdnep1,Dctn1,Dhrs2,Dnajc1,Dusp2,Erbin,Erg,Faf1,Fam169a,Gch1,Gm10184,Hax1,Il15ra,Ina,Insr,Ipo9,Kpna2,Kpnb1,Lbr,Lemd2,Lmna,Lmnb1,Lrpprc,Mad1l1,Mad2l1,Mgst2,Myo6,Myof,Npc1,Nrm,Nudt1,Nup153,Nup214,Nup50,Nup93,Nupl1,Nutf2-ps1,Oit3,P2rx2,P2rx4,Pafah1b1,Papd7,Parp1,Parp11,Pcyt1a,Pde4d,Phf20,Plcb1,Pml,Polr2m,Pom121,Prnp,Pum2,Rac2,Ranbp6,Ranbp9,Rrm1,Sec13,Seh1l,Slc29a2,Smad1,Smad3,Smox,Sorl1,Spata46,Stx1a,Sun1,Sun2,Sun5,Syne1,Syne2,Syne3,Taf3,Tmem176b,Tmem57,Tnks,Tnpo3,Tra2b,Trpc2,Tsga10,Uaca,Ubxn4,Utp18,Vapa,Wdfy3,Xpo1,Xpot,Zfp354c
GO Cellular Component	GO:0031519	PcG protein complex	7	2.348169e-7	3.834560e-4	5.477943e-5	2.999739e+0	1.000087e+1	30	3.500480e-3	1.050053e-2	244	1.057494e-1	1.000000e+0	7.077409e-1	1.461457e+0	8.210984e+0	12	46	3.142184e-3	2.608696e-1	27706,28590,28593,28598,31481,33548,33549,33552,33556,33589,35314,52801,52802,52803,52807,52809,60153,61644,67396,67439,67440,68012,68013,68014,91018,91020,91022,91036,91046,91077	Aebp2,Bcor,Cbx2,Cbx8,Epop,Ezh2,H2afy,H2afy2,Jarid2,Kdm2b,Pcgf3,Rybp
GO Cellular Component	GO:0005768	endosome	8	2.455388e-7	4.009649e-4	5.012061e-5	1.393290e+0	1.729719e+2	241	6.054319e-2	8.435422e-2	82	4.351746e-3	1.000000e+0	8.666343e-2	1.211298e+0	1.320897e+2	160	740	4.189578e-2	2.162162e-1	564,574,581,1107,1429,2526,2531,2538,2539,2563,2664,3271,3330,3864,4489,4729,4734,6284,7759,7761,7912,8133,8155,8215,9244,9251,9827,10868,11073,12490,13291,13301,13336,13405,13406,13408,14612,15347,16189,16478,16540,16837,16850,17064,17079,17159,18538,19217,19502,19798,19801,20599,20603,20733,21932,22539,22848,23527,23732,25441,25613,26650,26656,26667,26668,26682,26966,26976,27239,28147,28488,28495,28705,29493,29496,29550,29749,29752,29974,30082,30271,31698,31704,31705,31710,31886,32537,32540,32541,32736,32747,32752,32790,34143,34360,34995,35006,36595,37137,37366,37980,38003,38282,38419,38952,38954,38961,41174,41182,41185,41186,41538,41544,41546,41594,42175,43123,44415,44575,45398,45400,45573,45574,46185,46489,46815,46816,46840,47335,47563,48106,48111,48188,48191,49463,49549,50378,50382,50394,51912,52770,52817,53790,54835,55379,55705,55759,56152,56959,56974,57199,57546,57864,58396,58407,58408,58409,59208,59209,59213,59220,60052,60227,60629,61262,61320,61714,61738,61746,62055,62060,62831,62832,64162,64880,64881,64901,65112,66286,66498,66529,66543,67439,67440,67533,69096,71709,71712,71776,71969,71981,71982,73279,73298,76051,76052,76108,76279,76280,77283,77961,78427,78431,78439,78884,79009,79024,80954,81222,81937,81941,81946,81948,82070,82072,82600,83388,83484,83509,85065,85070,85461,85493,85496,86739,87096,87109,87191,87194,87279,88450,89688,90262,90619,90620,90630,90831,90834,90939,91342,91343	3110043O21Rik,Aatk,Acap2,Ackr3,Agap2,Akt2,Anxa2,Ap1g2,Arhgap27,Arhgap32,Atp11a,Atp11b,Atp13a2,Atp1a1,Atp6v0d2,Atp8a2,Atp9a,Bace2,Bdkrb2,Bst2,Calcrl,Carmil1,Cd300ld3,Chmp1b,Chmp4b,Chmp6,Clvs1,Crhbp,Ctss,Cxcr4,Dnm2,Dtnbp1,Dysf,Ece1,Ehd1,Eps15,Ezr,Fam109a,Fkbp15,Flt1,Fshr,Furin,Fyn,Fzd7,Gpc1,Gpr107,Grb2,Gria1,Grip1,Gripap1,H2-DMa,H2-DMb2,Hfe,Hmgb1,Hps6,Ift27,Il12b,Kcnk1,Kcnq1,Kdr,Kif13a,Lamtor5,Ldlrad4,Leprotl1,Lgmn,Litaf,Lpar1,Lrp1,Lrp2,Lrp6,M6pr,March3,Mb,Mcoln3,Micall2,Mmp14,Mvb12b,Myo1b,Ndfip2,Nedd4l,Neurl1b,Npc1,Nsg2,Numb,Ocrl,Osbpl11,Osbpl1a,Pacsin1,Pank1,Parm1,Pip5k1c,Plekhb2,Pml,Prf1,Ptp4a2,Ptpn1,Rab11fip2,Rab11fip4,Rab11fip5,Rab14,Rab17,Rab20,Rab35,Rab39,Rab4a,Rab8b,Rabgap1l,Rac1,Rap1a,Rap2b,Rapgef1,Rasgef1b,Rassf9,Ret,Rftn1,Rhob,Rhov,Rin3,Rps6kc1,Rragc,Rufy1,Rusc1,Sh3gl3,Slc30a4,Slc31a2,Snx10,Snx11,Snx13,Snx4,Snx8,Sorl1,St8sia2,Stard3,Stard3nl,Stx6,Stx8,Sun2,Syt3,Tbc1d14,Tbc1d5,Tgoln1,Tlr9,Tmem108,Tmem163,Tmem9,Trak1,Tsg101,Tspan15,Tuba1a,Uvrag,Vac14,Vps37b,Vps45,Vps4a,Vps50,Vps8,Vti1a,Ykt6,Zfyve28,Znrf2
GO Cellular Component	GO:0005639	integral component of nuclear inner membrane	9	5.747530e-7	9.385716e-4	1.042857e-4	6.517624e+0	1.841162e+0	12	6.444388e-4	4.200210e-3	172	5.082301e-2	1.000000e+0	4.825231e-1	2.100844e+0	2.855994e+0	6	16	1.571092e-3	3.750000e-1	5951,5953,27757,28563,29451,76279,76280,82036,82040,82045,82046,82048	Lbr,Lemd2,P2rx2,P2rx4,Sun1,Sun2
GO Cellular Component	GO:0044453	nuclear membrane part	10	6.105698e-7	9.970605e-4	9.970605e-5	6.479560e+0	1.851978e+0	12	6.482246e-4	4.200210e-3	192	6.705933e-2	1.000000e+0	5.703536e-1	1.977265e+0	3.034494e+0	6	17	1.571092e-3	3.529412e-1	5951,5953,27757,28563,29451,76279,76280,82036,82040,82045,82046,82048	Lbr,Lemd2,P2rx2,P2rx4,Sun1,Sun2
