seqnames	start	end	width	strand	bias
1	chr1	4332346	4332845	500	*	0.41
2	chr1	4416776	4417275	500	*	0.434
3	chr1	4417846	4418345	500	*	0.386
4	chr1	4468180	4468679	500	*	0.45
5	chr1	4490418	4490917	500	*	0.476
6	chr1	4496322	4496821	500	*	0.532
7	chr1	4571613	4572112	500	*	0.688
8	chr1	4623114	4623613	500	*	0.466
9	chr1	4642923	4643422	500	*	0.42
10	chr1	4671433	4671932	500	*	0.428
11	chr1	4689073	4689572	500	*	0.522
12	chr1	4748155	4748654	500	*	0.446
13	chr1	4775137	4775636	500	*	0.48
14	chr1	4780025	4780524	500	*	0.41
15	chr1	4785417	4785916	500	*	0.632
16	chr1	4807624	4808123	500	*	0.76
17	chr1	4857505	4858004	500	*	0.642
18	chr1	4873801	4874300	500	*	0.42
19	chr1	4907016	4907515	500	*	0.462
20	chr1	5019303	5019802	500	*	0.634
21	chr1	5022653	5023152	500	*	0.53
22	chr1	5083028	5083527	500	*	0.72
23	chr1	6135014	6135513	500	*	0.414
24	chr1	6143802	6144301	500	*	0.37
25	chr1	6214551	6215050	500	*	0.754
26	chr1	6244085	6244584	500	*	0.382
27	chr1	6262936	6263435	500	*	0.438
28	chr1	6272015	6272514	500	*	0.394
29	chr1	6373113	6373612	500	*	0.398
30	chr1	6382784	6383283	500	*	0.7
31	chr1	6406217	6406716	500	*	0.414
32	chr1	6410050	6410549	500	*	0.464
33	chr1	6441126	6441625	500	*	0.73
34	chr1	6453912	6454411	500	*	0.382
35	chr1	6461224	6461723	500	*	0.436
36	chr1	6466814	6467313	500	*	0.524
37	chr1	6519197	6519696	500	*	0.426
38	chr1	6760506	6761005	500	*	0.502
39	chr1	6859027	6859526	500	*	0.36
40	chr1	6975325	6975824	500	*	0.428
41	chr1	7010257	7010756	500	*	0.47
42	chr1	7077126	7077625	500	*	0.388
43	chr1	7088669	7089168	500	*	0.71
44	chr1	7095845	7096344	500	*	0.438
45	chr1	7102626	7103125	500	*	0.486
46	chr1	7111381	7111880	500	*	0.434
47	chr1	7113868	7114367	500	*	0.438
48	chr1	7146978	7147477	500	*	0.436
49	chr1	7153382	7153881	500	*	0.318
50	chr1	7163586	7164085	500	*	0.416
51	chr1	7165346	7165845	500	*	0.406
52	chr1	7204696	7205195	500	*	0.41
53	chr1	7206284	7206783	500	*	0.532
54	chr1	7263790	7264289	500	*	0.43
55	chr1	7395434	7395933	500	*	0.434
56	chr1	7397796	7398295	500	*	0.638
57	chr1	7429914	7430413	500	*	0.398
58	chr1	7454893	7455392	500	*	0.39
59	chr1	7543432	7543931	500	*	0.372
60	chr1	9282855	9283354	500	*	0.394
61	chr1	9541189	9541688	500	*	0.448
62	chr1	9545120	9545619	500	*	0.62
63	chr1	9573094	9573593	500	*	0.462
64	chr1	9591914	9592413	500	*	0.458
65	chr1	9593806	9594305	500	*	0.416
66	chr1	9629936	9630435	500	*	0.528
67	chr1	9700298	9700797	500	*	0.752
68	chr1	9716916	9717415	500	*	0.424
69	chr1	9748185	9748684	500	*	0.58
70	chr1	9772899	9773398	500	*	0.452
71	chr1	9776252	9776751	500	*	0.44
72	chr1	9780319	9780818	500	*	0.446
73	chr1	9797154	9797653	500	*	0.35
74	chr1	9798067	9798566	500	*	0.788
75	chr1	9799826	9800325	500	*	0.432
76	chr1	9805783	9806282	500	*	0.466
77	chr1	9812876	9813375	500	*	0.394
78	chr1	9815691	9816190	500	*	0.424
79	chr1	9822994	9823493	500	*	0.444
80	chr1	9833296	9833795	500	*	0.514
81	chr1	9841655	9842154	500	*	0.366
82	chr1	9848129	9848628	500	*	0.658
83	chr1	9857481	9857980	500	*	0.514
84	chr1	9859105	9859604	500	*	0.48
85	chr1	9876884	9877383	500	*	0.412
86	chr1	9883105	9883604	500	*	0.472
87	chr1	9893069	9893568	500	*	0.398
88	chr1	9907049	9907548	500	*	0.366
89	chr1	9943806	9944305	500	*	0.634
90	chr1	9967955	9968454	500	*	0.606
91	chr1	9970613	9971112	500	*	0.35
92	chr1	9982915	9983414	500	*	0.446
